PLAYER			ROLE
------			----

JJ Bumrah		Bowler
RD Chahar		Bowler
PJ Cummins		Bowler
BCJ Cutting		Allrounder
A Dananjaya		Allrounder
JP Duminy		Batting allrounder
Ishan Kishan		Opening batsman
SD Lad			Middle-order batsman
E Lewis	Opening 	Batsman
SR Lumba		Middle-order batsman
MJ McClenaghan		Bowler
M Markande		Bowler
Mohsin Khan		Bowler
Mustafizur Rahman	Bowler
MD Nidheesh		Bowler
HH Pandya		Allrounder
KH Pandya		Allrounder
KA Pollard		Allrounder
AS Roy			Allrounder
PJ Sangwan		Bowler
RG Sharma		Top-order batsman
Tajinder Singh		Allrounder
AP Tare 		Wicketkeeper
SS Tiwary		Top-order batsman
SA Yadav		Batsman
